year,period,       value_FarmProducts,       value_ProcessedFoods,       value
2003,M06,114.71891891891893,134.30042194092823,138.0
2003,M07,117.89861111111115,135.16816326530613,137.7
2003,M08,116.21538461538461,135.44634146341465,138.0
2003,M09,120.72413793103443,136.66666666666674,138.5
2003,M10,124.37248322147649,138.2395918367348,139.3
2003,M11,137.41935483870967,138.4685714285715,138.9
2003,M12,137.0854304635761,137.99800796812758,139.5
2003,M13,124.52710280373832,135.34212962962965,138.1
2004,M01,139.041447368421,139.04475806451606,141.4
2004,M02,140.1790849673203,139.72096774193554,142.1
2004,M03,148.05263157894734,142.3461847389558,143.1
2004,M04,134.30872483221475,143.27599999999998,144.8
2004,M05,137.40855263157897,143.68473895582335,146.8
2004,M06,127.9083333333334,143.44302788844618,147.2
2004,M07,123.52091503267981,142.63373493975897,147.4
2004,M08,118.66730769230769,142.7939516129032,148.0
2004,M09,124.19493670886071,142.97935222672058,147.7
2004,M10,142.57594936708867,142.31376518218616,150.0
2004,M11,141.2518987341771,142.22822580645152,151.4
2004,M12,140.72993630573242,142.97913385826774,150.2
2004,M13,134.41016949152535,141.7610859728506,146.7
2005,M01,138.8702531645568,140.52235294117642,150.9
2005,M02,139.28662420382167,141.00235294117647,151.6
2005,M03,144.39249999999996,142.86431372549023,153.7
2005,M04,133.52645161290323,143.69251968503926,155.0
2005,M05,129.9182389937107,144.05866141732278,154.3
2005,M06,124.91552795031062,142.5220472440946,154.3
2005,M07,118.8590062111801,143.78740157480325,156.3
2005,M08,119.36217948717946,142.80039525691706,157.6
2005,M09,124.47935483870977,143.27649402390443,162.2
2005,M10,128.88404907975456,146.19761904761918,166.2
2005,M11,139.92641509433963,145.02777777777774,163.7
2005,M12,147.64240506329114,146.94724409448816,163.0
2005,M13,130.37107438016525,143.33612334801765,157.4
2006,M01,142.60000000000005,144.9737451737452,164.3
2006,M02,132.17006369426753,145.50888030888038,161.8
2006,M03,133.55125000000007,145.22906976744184,162.2
2006,M04,126.8690322580645,146.68682170542627,164.3
2006,M05,120.92721518987344,145.02054263565873,165.8
2006,M06,124.30687500000006,145.19011406844095,166.1
2006,M07,123.51960784313721,144.77537878787876,166.8
2006,M08,127.90062893081748,144.78560606060597,167.9
2006,M09,129.83395061728388,147.62310606060612,165.4
2006,M10,142.40736196319006,147.73384030418248,162.2
2006,M11,150.03832335329335,149.1996212121212,164.6
2006,M12,154.95365853658524,151.55681818181833,165.6
2006,M13,131.704132231405,146.55506607929513,164.7
2007,M01,155.22857142857148,151.7867158671588,164.0
2007,M02,168.3271604938271,154.14481481481468,166.8
2007,M03,168.4143750000001,155.9686346863468,169.3
2007,M04,156.9152866242039,157.8287822878228,171.4
2007,M05,150.53081761006288,157.33333333333331,173.3
2007,M06,141.2987654320988,159.51507352941184,173.8
2007,M07,146.79308176100622,162.06813186813187,175.1
2007,M08,146.89936305732493,162.8405109489051,172.4
2007,M09,161.87735849056605,163.18205128205125,173.5
2007,M10,170.2231250000001,164.17216117216122,174.7
2007,M11,185.50666666666672,166.34175824175813,179.0
2007,M12,193.03128834355832,166.2428571428573,178.6
2007,M13,159.73739837398378,159.1169565217391,172.6
2008,M01,199.92024539877306,171.91684587813623,181.0
2008,M02,198.2395061728395,174.05483870967737,182.7
2008,M03,201.63950617283953,176.94695340501806,187.9
2008,M04,196.15652173913045,179.37670250896048,190.9
2008,M05,196.66975308641972,179.58953068592055,196.6
2008,M06,198.4868263473053,175.78793103448277,200.5
2008,M07,197.55925925925916,183.40744680851068,205.5
2008,M08,191.6614457831326,181.7826855123675,199.0
2008,M09,191.57409638554222,182.51731448763258,196.9
2008,M10,187.6101796407185,178.0706713780918,186.4
2008,M11,183.14268292682922,174.69328621908122,176.8
2008,M12,171.7282208588958,171.2581560283688,170.9
2008,M13,195.62542372881356,175.5104803493449,189.6
2009,M01,173.88113207547167,169.6398550724636,171.2
2009,M02,168.5851851851851,167.84765342960284,169.3
2009,M03,164.7105590062111,166.82527075812277,168.1
2009,M04,166.36024844720495,168.89460431654675,169.1
2009,M05,160.8602484472049,168.68303249097474,170.8
2009,M06,163.81077844311383,167.57010676156582,174.1
2009,M07,155.28536585365856,167.45160142348766,172.5
2009,M08,153.33124999999993,166.8712765957447,175.0
2009,M09,153.10424242424244,167.11285714285722,174.1
2009,M10,164.38982035928134,167.42939068100358,175.2
2009,M11,162.76094674556197,169.64178571428573,177.4
2009,M12,171.50484848484842,168.85244755244761,178.1
2009,M13,167.930081300813,167.4296610169491,172.9
2010,M01,173.5320987654321,170.73475177304962,181.9
2010,M02,175.58950617283944,171.48612099644131,181.0
2010,M03,188.14567901234574,173.10283687943243,183.3
2010,M04,180.06484848484845,172.22968197879854,184.4
2010,M05,173.03128834355826,174.04503546099292,184.8
2010,M06,163.40838323353304,170.28641114982568,183.5
2010,M07,170.2437125748503,170.31770833333323,184.1
2010,M08,171.17239263803677,172.3344827586206,184.9
2010,M09,172.08795180722896,174.2273356401384,184.9
2010,M10,174.22634730538923,177.10968858131497,186.6
2010,M11,188.14085365853657,178.73183391003465,187.7
2010,M12,200.7566037735849,177.48020477815706,189.7
2010,M13,186.28130081300816,173.14201680672267,184.7
2011,M01,208.65975609756094,178.5084507042252,192.7
2011,M02,232.54417177914132,182.50035211267632,195.8
2011,M03,219.9760736196318,184.87711267605638,199.2
2011,M04,215.77393939393951,186.30777385159027,203.1
2011,M05,207.74181818181842,186.54522968197892,204.1
2011,M06,208.87588235294123,187.40567375886528,203.9
2011,M07,207.8584337349399,189.80777385158999,204.6
2011,M08,214.9834355828221,192.68727915194344,203.2
2011,M09,211.42024539877306,191.74204946996463,203.7
2011,M10,213.45568862275445,190.38767605633808,201.1
2011,M11,221.32469879518064,189.6328621908127,201.4
2011,M12,210.84425287356328,171.76857142857133,199.8
2011,M13,220.07692307692304,185.59796747967474,201.0
2012,M01,210.06358381502903,177.5328313253012,200.7
2012,M02,207.44514285714277,176.86415662650606,201.6
2012,M03,210.84425287356314,177.56253776435048,204.2
2012,M04,209.76091954023002,179.0261261261263,203.7
2012,M05,206.54857142857142,177.3105105105104,201.9
2012,M06,203.62209944751368,177.547181008902,199.8
2012,M07,206.50399999999982,177.4489614243325,200.1
2012,M08,212.01954022988502,181.1044378698225,202.7
2012,M09,212.15611111111107,182.51543026706227,204.4
2012,M10,205.84525139664797,181.6499999999999,203.5
2012,M11,219.54413407821227,181.21893491124257,201.8
2012,M12,215.98876404494382,180.6284023668639,201.5
2012,M13,211.8113821138211,177.1733108108109,202.2
